5
01234 10342 23410 34021 42103
01234 10342 23401 34120 42013
01234 10423 23041 34102 42310
01234 10423 23140 34012 42301
01234 10342 24013 32401 43120
01234 10342 24103 32410 43021
01234 10423 24310 32041 43102
01234 10423 24301 32140 43012
01234 12340 20413 34021 43102
01234 12340 20413 34102 43021
01234 12403 20341 34012 43120
01234 12403 20341 34120 43012
01234 12043 23401 34120 40312
01234 12043 23410 34102 40321
01234 12340 23401 34012 40123
01234 12403 23041 34120 40312
01234 12403 23140 34012 40321
01234 12403 23140 34021 40312
01234 12043 24301 30412 43120
01234 12043 24310 30421 43102
01234 12340 24013 30421 43102
01234 12340 24103 30412 43021
01234 12340 24103 30421 43012
01234 12403 24310 30142 43021
01234 13042 20413 34120 42301
01234 13402 20143 34021 42310
01234 13420 20143 34012 42301
01234 13420 20341 34012 42103
01234 13402 20341 34120 42013
01234 13420 20341 34102 42013
01234 13042 24103 30421 42310
01234 13042 24310 30421 42103
01234 13420 24013 30142 42301
01234 13420 24301 30142 42013
01234 13042 24103 32410 40321
01234 13042 24301 32410 40123
01234 13042 24310 32401 40123
01234 13402 24013 32140 40321
01234 13420 24103 32041 40312
01234 13402 24310 32041 40123
01234 14023 20341 32410 43102
01234 14302 20143 32410 43021
01234 14320 20143 32401 43012
01234 14302 20413 32041 43120
01234 14320 20413 32041 43102
01234 14302 20413 32140 43021
01234 14023 23140 30412 42301
01234 14023 23401 30142 42310
01234 14023 23410 30142 42301
01234 14320 23041 30412 42103
01234 14302 23140 30421 42013
01234 14320 23401 30142 42013
01234 14023 23140 32401 40312
01234 14023 23401 32140 40312
01234 14302 23041 32410 40123
01234 14302 23410 32041 40123
